"Institute","InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum","empty","Year"
"Southern Illinois University Edwardsville","Graduate","108","56","9","8","25","21","25","16","0","0","1,304","716","0","0","108","247","0","0","1,579","1,064","0","2,643","2","","2001"
"Southern Illinois University Edwardsville","Total","921","407","30","23","90","92","110","70","0","0","5,855","4,323","0","0","186","335","0","0","7,192","5,250","0","12,442","4","","2001"
"U of I at Chicago","Undergraduate","1,096","418","25","18","1,943","1,788","1,532","1,163","0","0","3,686","3,350","0","0","149","146","302","271","8,733","7,154","0","15,887","1","","2001"
"U of I at Chicago","Graduate","513","230","12","9","652","530","401","263","0","0","2,553","1,787","0","0","741","1,085","158","134","5,030","4,038","0","9,068","2","","2001"
"U of I at Chicago","Total","1,609","648","37","27","2,595","2,318","1,933","1,426","0","0","6,239","5,137","0","0","890","1,231","460","405","13,763","11,192","0","24,955","4","","2001"
"U of I at Springfield","Undergraduate","127","60","1","3","22","13","18","15","0","0","1,290","723","0","0","8","20","0","0","1,466","834","0","2,300","1","","2001"
"U of I at Springfield","Graduate","115","53","2","3","23","19","16","14","0","0","918","676","0","0","50","99","0","0","1,124","864","0","1,988","2","","2001"
"U of I at Springfield","Total","242","113","3","6","45","32","34","29","0","0","2,208","1,399","0","0","58","119","0","0","2,590","1,698","0","4,288","4","","2001"
"U of I at Urbana/Champaign","Undergraduate","1,178","757","22","32","1,614","2,083","767","876","0","0","9,214","10,320","0","0","384","491","487","521","13,666","15,080","0","28,746","1","","2001"
"U of I at Urbana/Champaign","Graduate","224","134","6","11","180","280","142","124","0","0","2,498","2,685","0","0","1,343","2,218","395","305","4,788","5,757","0","10,545","2","","2001"
"U of I at Urbana/Champaign","Total","1,402","891","28","43","1,794","2,363","909","1,000","0","0","11,712","13,005","0","0","1,727","2,709","882","826","18,454","20,837","0","39,291","4","","2001"
"Black Hawk College","Undergraduate","235","195","17","14","45","21","300","241","0","0","3,142","2,038","0","0","0","0","0","0","3,739","2,509","0","6,248","1","","2001"
"Black Hawk College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Black Hawk College","Total","235","195","17","14","45","21","300","241","0","0","3,142","2,038","0","0","0","0","0","0","3,739","2,509","0","6,248","4","","2001"
"Carl Sandburg College","Undergraduate","54","162","5","5","9","8","44","45","0","0","1,805","1,193","0","0","5","6","0","0","1,922","1,419","0","3,341","1","","2001"
"Carl Sandburg College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Carl Sandburg College","Total","54","162","5","5","9","8","44","45","0","0","1,805","1,193","0","0","5","6","0","0","1,922","1,419","0","3,341","4","","2001"
"CCC - Harold Washington College","Undergraduate","2,415","1,198","30","24","513","426","1,012","675","0","0","882","771","0","0","0","0","0","0","4,852","3,094","0","7,946","1","","2001"
"CCC - Harold Washington College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"CCC - Harold Washington College","Total","2,415","1,198","30","24","513","426","1,012","675","0","0","882","771","0","0","0","0","0","0","4,852","3,094","0","7,946","4","","2001"
"CCC - Harry S Truman College","Undergraduate","1,220","750","36","31","1,040","818","3,635","4,137","0","0","2,375","1,542","0","0","0","0","0","0","8,306","7,278","0","15,584","1","","2001"
"CCC - Harry S Truman College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"CCC - Harry S Truman College","Total","1,220","750","36","31","1,040","818","3,635","4,137","0","0","2,375","1,542","0","0","0","0","0","0","8,306","7,278","0","15,584","4","","2001"
"CCC - Kennedy-King College","Undergraduate","3,202","1,378","21","12","103","35","297","219","0","0","65","39","0","0","0","0","0","0","3,688","1,683","0","5,371","1","","2001"
"CCC - Kennedy-King College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"CCC - Kennedy-King College","Total","3,202","1,378","21","12","103","35","297","219","0","0","65","39","0","0","0","0","0","0","3,688","1,683","0","5,371","4","","2001"
"CCC - Malcolm X College","Undergraduate","3,059","1,929","32","22","241","108","1,277","1,268","0","0","312","271","0","0","0","0","0","0","4,921","3,598","0","8,519","1","","2001"
"CCC - Malcolm X College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"CCC - Malcolm X College","Total","3,059","1,929","32","22","241","108","1,277","1,268","0","0","312","271","0","0","0","0","0","0","4,921","3,598","0","8,519","4","","2001"
"CCC - Olive-Harvey College","Undergraduate","3,348","1,624","31","10","14","7","761","499","0","0","50","44","0","0","0","0","0","0","4,204","2,184","0","6,388","1","","2001"
"CCC - Olive-Harvey College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"CCC - Olive-Harvey College","Total","3,348","1,624","31","10","14","7","761","499","0","0","50","44","0","0","0","0","0","0","4,204","2,184","0","6,388","4","","2001"
"CCC - Richard J. Daley College","Undergraduate","1,396","620","23","8","83","67","3,631","2,529","0","0","1,009","702","0","0","0","0","0","0","6,142","3,926","0","10,068","1","","2001"
"CCC - Richard J. Daley College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"CCC - Richard J. Daley College","Total","1,396","620","23","8","83","67","3,631","2,529","0","0","1,009","702","0","0","0","0","0","0","6,142","3,926","0","10,068","4","","2001"
"CCC - Wilbur Wright College","Undergraduate","666","302","32","19","432","371","3,413","2,345","0","0","2,850","1,803","0","0","0","0","0","0","7,393","4,840","0","12,233","1","","2001"
"CCC - Wilbur Wright College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"CCC - Wilbur Wright College","Total","666","302","32","19","432","371","3,413","2,345","0","0","2,850","1,803","0","0","0","0","0","0","7,393","4,840","0","12,233","4","","2001"
"College of DuPage","Undergraduate","688","502","22","22","1,802","1,498","1,601","1,464","0","0","12,254","8,950","0","0","1","1","316","302","16,684","12,739","0","29,423","1","","2001"
"College of DuPage","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"College of DuPage","Total","688","502","22","22","1,802","1,498","1,601","1,464","0","0","12,254","8,950","0","0","1","1","316","302","16,684","12,739","0","29,423","4","","2001"
"College of Lake County","Undergraduate","772","423","34","26","362","273","1,322","1,141","0","0","4,594","3,731","0","0","122","117","0","0","7,206","5,711","0","12,917","1","","2001"
"College of Lake County","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"College of Lake County","Total","772","423","34","26","362","273","1,322","1,141","0","0","4,594","3,731","0","0","122","117","0","0","7,206","5,711","0","12,917","4","","2001"
"Danville Area Community College","Undergraduate","159","79","2","4","10","15","33","33","0","0","1,405","843","0","0","2","0","0","0","1,611","974","0","2,585","1","","2001"
"Danville Area Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Danville Area Community College","Total","159","79","2","4","10","15","33","33","0","0","1,405","843","0","0","2","0","0","0","1,611","974","0","2,585","4","","2001"
"Elgin Community College","Undergraduate","220","141","12","5","237","205","1,442","1,347","0","0","3,458","2,548","0","0","10","11","0","0","5,379","4,257","0","9,636","1","","2001"
"Elgin Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Elgin Community College","Total","220","141","12","5","237","205","1,442","1,347","0","0","3,458","2,548","0","0","10","11","0","0","5,379","4,257","0","9,636","4","","2001"
"Harper College","Undergraduate","247","205","19","16","1,160","795","1,141","1,099","0","0","5,084","3,668","0","0","44","25","571","440","8,266","6,248","0","14,514","1","","2001"
"Harper College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Harper College","Total","247","205","19","16","1,160","795","1,141","1,099","0","0","5,084","3,668","0","0","44","25","571","440","8,266","6,248","0","14,514","4","","2001"
"Heartland Community College","Undergraduate","227","148","11","9","58","26","35","53","0","0","2,117","1,869","0","0","1","4","0","0","2,449","2,109","0","4,558","1","","2001"
"Heartland Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Heartland Community College","Total","227","148","11","9","58","26","35","53","0","0","2,117","1,869","0","0","1","4","0","0","2,449","2,109","0","4,558","4","","2001"
"Highland Community College","Undergraduate","126","72","7","1","11","9","11","13","0","0","1,480","807","0","0","2","2","0","0","1,637","904","0","2,541","1","","2001"
"Highland Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Highland Community College","Total","126","72","7","1","11","9","11","13","0","0","1,480","807","0","0","2","2","0","0","1,637","904","0","2,541","4","","2001"
"Illinois Central College","Undergraduate","587","460","15","16","103","71","79","105","0","0","5,353","4,278","0","0","11","5","0","0","6,148","4,935","0","11,083","1","","2001"
"Illinois Central College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Illinois Central College","Total","587","460","15","16","103","71","79","105","0","0","5,353","4,278","0","0","11","5","0","0","6,148","4,935","0","11,083","4","","2001"
"Illinois Eastern - Frontier","Undergraduate","2","0","1","0","10","14","2","2","0","0","1,249","633","0","0","0","0","0","0","1,264","649","0","1,913","1","","2001"
"Illinois Eastern - Frontier","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Illinois Eastern - Frontier","Total","2","0","1","0","10","14","2","2","0","0","1,249","633","0","0","0","0","0","0","1,264","649","0","1,913","4","","2001"
"Illinois Eastern - Lincoln Trail","Undergraduate","12","116","0","1","2","12","7","21","0","0","459","469","0","0","1","0","0","0","481","619","0","1,100","1","","2001"
"Illinois Eastern - Lincoln Trail","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Illinois Eastern - Lincoln Trail","Total","12","116","0","1","2","12","7","21","0","0","459","469","0","0","1","0","0","0","481","619","0","1,100","4","","2001"
"Illinois Eastern - Olney Central","Undergraduate","3","7","2","1","8","0","3","2","0","0","908","670","0","0","7","6","0","0","931","686","0","1,617","1","","2001"
"Illinois Eastern - Olney Central","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Illinois Eastern - Olney Central","Total","3","7","2","1","8","0","3","2","0","0","908","670","0","0","7","6","0","0","931","686","0","1,617","4","","2001"
"Illinois Eastern - Wabash Valley","Undergraduate","21","25","4","3","14","10","7","18","0","0","1,169","1,371","0","0","0","1","0","0","1,215","1,428","0","2,643","1","","2001"
"Illinois Eastern - Wabash Valley","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Illinois Eastern - Wabash Valley","Total","21","25","4","3","14","10","7","18","0","0","1,169","1,371","0","0","0","1","0","0","1,215","1,428","0","2,643","4","","2001"
"Illinois Valley Community College","Undergraduate","11","49","3","3","15","14","82","103","0","0","1,849","1,484","0","0","0","0","21","39","1,981","1,692","0","3,673","1","","2001"
"Illinois Valley Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Illinois Valley Community College","Total","11","49","3","3","15","14","82","103","0","0","1,849","1,484","0","0","0","0","21","39","1,981","1,692","0","3,673","4","","2001"
"John A. Logan College","Undergraduate","316","257","16","10","41","44","44","39","0","0","3,315","2,456","0","0","1","7","0","0","3,733","2,813","0","6,546","1","","2001"
"John A. Logan College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"John A. Logan College","Total","316","257","16","10","41","44","44","39","0","0","3,315","2,456","0","0","1","7","0","0","3,733","2,813","0","6,546","4","","2001"
"John Wood Community College","Undergraduate","51","32","3","2","9","8","19","7","0","0","1,296","676","0","0","4","4","0","0","1,382","729","0","2,111","1","","2001"
"John Wood Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"John Wood Community College","Total","51","32","3","2","9","8","19","7","0","0","1,296","676","0","0","4","4","0","0","1,382","729","0","2,111","4","","2001"
"Joliet Junior College","Undergraduate","707","429","18","13","119","103","825","609","0","0","5,397","3,839","0","0","17","13","0","0","7,083","5,006","0","12,089","1","","2001"
"Joliet Junior College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Joliet Junior College","Total","707","429","18","13","119","103","825","609","0","0","5,397","3,839","0","0","17","13","0","0","7,083","5,006","0","12,089","4","","2001"
"Kankakee Community College","Undergraduate","282","96","4","2","11","9","51","24","0","0","1,663","999","0","0","1","1","12","9","2,024","1,140","0","3,164","1","","2001"
"Kankakee Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Kankakee Community College","Total","282","96","4","2","11","9","51","24","0","0","1,663","999","0","0","1","1","12","9","2,024","1,140","0","3,164","4","","2001"
"Kaskaskia College","Undergraduate","80","180","13","3","13","7","8","31","0","0","1,719","1,039","0","0","1","3","0","0","1,834","1,263","0","3,097","1","","2001"
"Kaskaskia College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Kaskaskia College","Total","80","180","13","3","13","7","8","31","0","0","1,719","1,039","0","0","1","3","0","0","1,834","1,263","0","3,097","4","","2001"
"Kishwaukee College","Undergraduate","256","236","8","6","81","59","173","189","0","0","1,573","1,298","0","0","4","0","0","0","2,095","1,788","0","3,883","1","","2001"
"Kishwaukee College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Kishwaukee College","Total","256","236","8","6","81","59","173","189","0","0","1,573","1,298","0","0","4","0","0","0","2,095","1,788","0","3,883","4","","2001"
"Lake Land College","Undergraduate","87","668","12","11","10","16","22","144","0","0","2,613","2,491","0","0","10","18","0","0","2,754","3,348","0","6,102","1","","2001"
"Lake Land College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Lake Land College","Total","87","668","12","11","10","16","22","144","0","0","2,613","2,491","0","0","10","18","0","0","2,754","3,348","0","6,102","4","","2001"
"Lewis &amp; Clark Community College","Undergraduate","251","140","12","9","14","10","25","24","0","0","3,727","2,743","0","0","20","10","0","0","4,049","2,936","0","6,985","1","","2001"
"Lewis &amp; Clark Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Lewis &amp; Clark Community College","Total","251","140","12","9","14","10","25","24","0","0","3,727","2,743","0","0","20","10","0","0","4,049","2,936","0","6,985","4","","2001"
"Lincoln Land Community College","Undergraduate","299","165","10","6","46","34","44","42","0","0","3,671","2,547","0","0","11","8","0","0","4,081","2,802","0","6,883","1","","2001"
"Lincoln Land Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Lincoln Land Community College","Total","299","165","10","6","46","34","44","42","0","0","3,671","2,547","0","0","11","8","0","0","4,081","2,802","0","6,883","4","","2001"
"McHenry County College","Undergraduate","14","13","5","8","40","37","289","324","0","0","2,940","2,053","0","0","22","2","0","0","3,310","2,437","0","5,747","1","","2001"
"McHenry County College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"McHenry County College","Total","14","13","5","8","40","37","289","324","0","0","2,940","2,053","0","0","22","2","0","0","3,310","2,437","0","5,747","4","","2001"
"Moraine Valley Community College","Undergraduate","591","351","21","21","127","111","538","481","0","0","6,404","4,670","0","0","381","337","0","0","8,062","5,971","0","14,033","1","","2001"
"Moraine Valley Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Moraine Valley Community College","Total","591","351","21","21","127","111","538","481","0","0","6,404","4,670","0","0","381","337","0","0","8,062","5,971","0","14,033","4","","2001"
"Morton College","Undergraduate","66","32","4","0","53","36","1,695","1,175","0","0","732","463","0","0","40","32","0","0","2,590","1,738","0","4,328","1","","2001"
"Morton College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Morton College","Total","66","32","4","0","53","36","1,695","1,175","0","0","732","463","0","0","40","32","0","0","2,590","1,738","0","4,328","4","","2001"
"Oakton Community College","Undergraduate","294","173","13","15","915","825","361","304","0","0","4,368","3,524","0","0","0","0","0","0","5,951","4,841","0","10,792","1","","2001"
"Oakton Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Oakton Community College","Total","294","173","13","15","915","825","361","304","0","0","4,368","3,524","0","0","0","0","0","0","5,951","4,841","0","10,792","4","","2001"
"Parkland College","Undergraduate","519","420","15","12","186","167","95","106","0","0","3,621","2,983","0","0","226","132","0","0","4,662","3,820","0","8,482","1","","2001"
"Parkland College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Parkland College","Total","519","420","15","12","186","167","95","106","0","0","3,621","2,983","0","0","226","132","0","0","4,662","3,820","0","8,482","4","","2001"
"Prairie State College","Undergraduate","1,068","545","11","9","24","25","207","165","0","0","1,167","783","0","0","20","19","211","174","2,708","1,720","0","4,428","1","","2001"
"Prairie State College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Prairie State College","Total","1,068","545","11","9","24","25","207","165","0","0","1,167","783","0","0","20","19","211","174","2,708","1,720","0","4,428","4","","2001"
"Rend Lake College","Undergraduate","28","126","2","3","8","8","7","26","0","0","1,483","1,253","0","0","0","0","0","0","1,528","1,416","0","2,944","1","","2001"
"Rend Lake College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Rend Lake College","Total","28","126","2","3","8","8","7","26","0","0","1,483","1,253","0","0","0","0","0","0","1,528","1,416","0","2,944","4","","2001"
"Richland Community College","Undergraduate","316","106","4","4","17","6","22","11","0","0","1,689","1,084","0","0","1","0","0","0","2,049","1,211","0","3,260","1","","2001"
"Richland Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Richland Community College","Total","316","106","4","4","17","6","22","11","0","0","1,689","1,084","0","0","1","0","0","0","2,049","1,211","0","3,260","4","","2001"
"Rock Valley College","Undergraduate","465","243","28","16","125","117","319","282","0","0","3,872","3,055","0","0","12","8","0","0","4,821","3,721","0","8,542","1","","2001"
"Rock Valley College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Rock Valley College","Total","465","243","28","16","125","117","319","282","0","0","3,872","3,055","0","0","12","8","0","0","4,821","3,721","0","8,542","4","","2001"
"Sauk Valley Community College","Undergraduate","28","24","4","10","11","14","99","98","0","0","1,394","1,006","0","0","0","0","0","0","1,536","1,152","0","2,688","1","","2001"
"Sauk Valley Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Sauk Valley Community College","Total","28","24","4","10","11","14","99","98","0","0","1,394","1,006","0","0","0","0","0","0","1,536","1,152","0","2,688","4","","2001"
"Shawnee Community College","Undergraduate","208","105","3","4","5","13","8","24","0","0","996","521","0","0","0","0","0","0","1,220","667","0","1,887","1","","2001"
"Shawnee Community College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Shawnee Community College","Total","208","105","3","4","5","13","8","24","0","0","996","521","0","0","0","0","0","0","1,220","667","0","1,887","4","","2001"
"South Suburban Coll. of Cook Co.","Undergraduate","2,402","856","18","10","45","31","314","227","0","0","1,589","937","0","0","13","10","0","0","4,381","2,071","0","6,452","1","","2001"
"South Suburban Coll. of Cook Co.","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"South Suburban Coll. of Cook Co.","Total","2,402","856","18","10","45","31","314","227","0","0","1,589","937","0","0","13","10","0","0","4,381","2,071","0","6,452","4","","2001"
"Southeastern Illinois College","Undergraduate","33","319","4","12","7","6","7","63","0","0","1,262","989","0","0","1","1","0","0","1,314","1,390","0","2,704","1","","2001"
"Southeastern Illinois College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Southeastern Illinois College","Total","33","319","4","12","7","6","7","63","0","0","1,262","989","0","0","1","1","0","0","1,314","1,390","0","2,704","4","","2001"
"Southwestern Illinois College","Undergraduate","1,574","773","29","22","136","85","172","134","0","0","5,734","4,627","0","0","12","9","0","0","7,657","5,650","0","13,307","1","","2001"
"Southwestern Illinois College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Southwestern Illinois College","Total","1,574","773","29","22","136","85","172","134","0","0","5,734","4,627","0","0","12","9","0","0","7,657","5,650","0","13,307","4","","2001"
"Spoon River College","Undergraduate","49","58","4","2","11","20","7","9","0","0","969","778","0","0","1","1","0","0","1,041","868","0","1,909","1","","2001"
"Spoon River College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Spoon River College","Total","49","58","4","2","11","20","7","9","0","0","969","778","0","0","1","1","0","0","1,041","868","0","1,909","4","","2001"
"Triton College","Undergraduate","1,633","978","22","15","253","229","1,730","1,724","0","0","4,141","4,100","0","0","12","11","0","0","7,791","7,057","0","14,848","1","","2001"
"Triton College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Triton College","Total","1,633","978","22","15","253","229","1,730","1,724","0","0","4,141","4,100","0","0","12","11","0","0","7,791","7,057","0","14,848","4","","2001"
"Adler University","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","2001"
"Adler University","Graduate","29","14","0","1","14","6","10","3","0","0","222","96","0","0","6","2","5","0","286","122","0","408","2","","2001"
"Adler University","Total","29","14","0","1","14","6","10","3","0","0","222","96","0","0","6","2","5","0","286","122","0","408","4","","2001"
"Advocate Kutsch College of Nursing","Undergraduate","14","0","0","0","6","4","11","0","0","0","31","5","0","0","0","0","2","0","64","9","0","73","1","","2001"
"Advocate Kutsch College of Nursing","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Advocate Kutsch College of Nursing","Total","14","0","0","0","6","4","11","0","0","0","31","5","0","0","0","0","2","0","64","9","0","73","4","","2001"
"American Academy of Art","Undergraduate","11","23","0","0","5","5","23","65","0","0","81","145","0","0","2","0","0","0","122","238","0","360","1","","2001"
"American Academy of Art","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"American Academy of Art","Total","11","23","0","0","5","5","23","65","0","0","81","145","0","0","2","0","0","0","122","238","0","360","4","","2001"
"American Islamic College (Closed)","Undergraduate","0","1","0","0","1","0","1","1","0","0","2","1","0","0","2","2","0","0","6","5","0","11","1","","2001"
"American Islamic College (Closed)","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"American Islamic College (Closed)","Total","0","1","0","0","1","0","1","1","0","0","2","1","0","0","2","2","0","0","6","5","0","11","4","","2001"
"Augustana College","Undergraduate","31","22","2","1","15","19","34","24","0","0","1,187","881","0","0","7","9","0","0","1,276","956","0","2,232","1","","2001"
"Augustana College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Augustana College","Total","31","22","2","1","15","19","34","24","0","0","1,187","881","0","0","7","9","0","0","1,276","956","0","2,232","4","","2001"
"Aurora University","Undergraduate","145","74","1","3","18","9","94","37","0","0","525","403","0","0","0","0","8","6","791","532","0","1,323","1","","2001"
"Aurora University","Graduate","91","26","0","3","10","5","42","19","0","0","944","329","0","0","1","0","6","2","1,094","384","0","1,478","2","","2001"
"Aurora University","Total","236","100","1","6","28","14","136","56","0","0","1,469","732","0","0","1","0","14","8","1,885","916","0","2,801","4","","2001"
"Barat College","Undergraduate","23","15","1","1","17","1","20","11","0","0","178","61","0","0","0","0","169","74","408","163","0","571","1","","2001"
"Barat College","Graduate","3","2","0","0","1","1","0","1","0","0","18","8","0","0","0","0","38","9","60","21","0","81","2","","2001"
"Barat College","Total","26","17","1","1","18","2","20","12","0","0","196","69","0","0","0","0","207","83","468","184","0","652","4","","2001"
"Benedictine University","Undergraduate","128","49","2","1","173","100","87","65","0","0","620","361","0","0","0","0","220","180","1,230","756","0","1,986","1","","2001"
"Benedictine University","Graduate","21","7","1","0","39","22","11","3","0","0","253","152","0","0","0","0","114","91","439","275","0","714","2","","2001"
"Benedictine University","Total","149","56","3","1","212","122","98","68","0","0","873","513","0","0","0","0","334","271","1,669","1,031","0","2,700","4","","2001"
"Bexley Hall Seabury Western Theological Seminary Federation","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","2001"
"Bexley Hall Seabury Western Theological Seminary Federation","Graduate","1","3","0","1","0","2","3","0","0","0","71","95","0","0","3","8","0","0","78","109","0","187","2","","2001"
"Bexley Hall Seabury Western Theological Seminary Federation","Total","1","3","0","1","0","2","3","0","0","0","71","95","0","0","3","8","0","0","78","109","0","187","4","","2001"
"Blackburn College","Undergraduate","37","26","1","2","3","2","2","3","0","0","258","205","0","0","10","8","6","8","317","254","0","571","1","","2001"
"Blackburn College","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Blackburn College","Total","37","26","1","2","3","2","2","3","0","0","258","205","0","0","10","8","6","8","317","254","0","571","4","","2001"
"Blessing-Rieman College of Nursing","Undergraduate","5","0","0","1","0","0","3","0","0","0","113","9","0","0","0","0","20","2","141","12","0","153","1","","2001"
"Blessing-Rieman College of Nursing","Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","2001"
"Blessing-Rieman College of Nursing","Total","5","0","0","1","0","0","3","0","0","0","113","9","0","0","0","0","20","2","141","12","0","153","4","","2001"
"Bradley University","Undergraduate","167","83","8","8","49","56","51","23","0","0","2,363","2,012","0","0","32","56","134","125","2,804","2,363","0","5,167","1","","2001"
"Bradley University","Graduate","18","11","0","3","6","5","5","5","0","0","272","243","0","0","41","189","10","21","352","477","0","829","2","","2001"
"Bradley University","Total","185","94","8","11","55","61","56","28","0","0","2,635","2,255","0","0","73","245","144","146","3,156","2,840","0","5,996","4","","2001"
"Brisk Rabbinical College","Undergraduate","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","5","1","","2001"
